account_id,timestamp,text,url,hashtags,reply_to,repost_of,platform
organic_004,2026-03-02T00:33:47.966303+00:00,Great discussion at today's meetup,,,,,synthetic
organic_008,2026-03-02T00:58:36.911568+00:00,Monday mood: need more coffee,,fun,,,synthetic
organic_012,2026-03-02T01:19:43.057298+00:00,Traffic is terrible today,,,,,synthetic
organic_002,2026-03-02T01:26:45.966853+00:00,Can't wait for the weekend,,goals,,,synthetic
organic_020,2026-03-02T01:35:12.762830+00:00,Great discussion at today's meetup,,goals,,,synthetic
organic_015,2026-03-02T01:48:52.564363+00:00,New album is fire honestly,,,,,synthetic
organic_021,2026-03-02T01:49:54.194678+00:00,This recipe turned out amazing,,,,,synthetic
organic_006,2026-03-02T01:51:09.593134+00:00,Beautiful sunset today,,,,,synthetic
organic_009,2026-03-02T02:09:38.648827+00:00,Just finished reading a great book,,,,,synthetic
organic_009,2026-03-02T02:18:44.132351+00:00,Trying a new workout routine this week,,fun,,,synthetic
coord_g1_03,2026-03-02T02:38:32.437702+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_012,2026-03-02T02:47:48.223922+00:00,Traffic is terrible today,,fun,,,synthetic
organic_002,2026-03-02T02:49:56.142336+00:00,Congratulations to the team!,,,,,synthetic
organic_021,2026-03-02T03:05:34.031241+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_000,2026-03-02T03:09:32.501296+00:00,Looking forward to vacation next month,,,,,synthetic
organic_018,2026-03-02T03:10:40.571844+00:00,Can't wait for the weekend,,,,,synthetic
organic_013,2026-03-02T03:13:27.932889+00:00,Can't wait for the weekend,,,,,synthetic
organic_008,2026-03-02T03:49:46.267665+00:00,Trying a new workout routine this week,,,,,synthetic
organic_015,2026-03-02T03:53:01.144262+00:00,Beautiful sunset today,,,,,synthetic
organic_016,2026-03-02T04:14:21.899700+00:00,Monday mood: need more coffee,,,,,synthetic
coord_g1_02,2026-03-02T04:19:13.497732+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_013,2026-03-02T05:09:51.573610+00:00,Beautiful sunset today,,life,,,synthetic
organic_003,2026-03-02T05:50:31.982691+00:00,Congratulations to the team!,,life,,,synthetic
organic_021,2026-03-02T05:52:11.508035+00:00,Trying a new workout routine this week,,mood,,,synthetic
organic_017,2026-03-02T06:26:44.198014+00:00,Congratulations to the team!,,,,,synthetic
coord_g1_02,2026-03-02T06:51:57.210427+00:00,Another day another cover up by the elites,,,,,synthetic
organic_007,2026-03-02T07:10:46.825367+00:00,Great discussion at today's meetup,,,,,synthetic
organic_021,2026-03-02T07:19:13.905635+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_014,2026-03-02T07:22:09.207386+00:00,Monday mood: need more coffee,,,,,synthetic
coord_g0_00,2026-03-02T07:33:41.518055+00:00,This is really important please share widely,,,,,synthetic
organic_013,2026-03-02T07:39:35.925585+00:00,Traffic is terrible today,,,,,synthetic
organic_017,2026-03-02T07:43:52.758585+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_012,2026-03-02T07:45:11.012353+00:00,This weather is perfect for a hike,,,,,synthetic
organic_010,2026-03-02T07:53:22.569757+00:00,Beautiful sunset today,,,,,synthetic
organic_001,2026-03-02T08:08:18.023740+00:00,Can't wait for the weekend,,,,,synthetic
organic_000,2026-03-02T08:09:16.656946+00:00,Trying a new workout routine this week,,,,,synthetic
organic_020,2026-03-02T08:14:55.879001+00:00,Can't wait for the weekend,,love,,,synthetic
organic_002,2026-03-02T08:19:17.139726+00:00,Can't wait for the weekend,,,,,synthetic
organic_006,2026-03-02T08:21:34.380366+00:00,This recipe turned out amazing,,,,,synthetic
organic_017,2026-03-02T08:30:21.389095+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_004,2026-03-02T08:47:05.483062+00:00,Just finished reading a great book,,,,,synthetic
organic_003,2026-03-02T09:16:28.541208+00:00,Beautiful sunset today,,,,,synthetic
organic_003,2026-03-02T09:17:24.443666+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_000,2026-03-02T09:21:57.502145+00:00,This weather is perfect for a hike,,,,,synthetic
organic_006,2026-03-02T09:23:31.001749+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_018,2026-03-02T09:24:07.920311+00:00,Looking forward to vacation next month,,,,,synthetic
coord_g1_02,2026-03-02T09:48:27.878311+00:00,This is really important please share widely,https://patriotwatch.net/breaking/6314,,,,synthetic
organic_009,2026-03-02T09:49:28.680240+00:00,Anyone watching the game tonight?,,,,,synthetic
coord_g1_03,2026-03-02T09:52:13.302931+00:00,Open borders are destroying our communities,,"immigrationtruth,technologytruth",,,synthetic
coord_g1_00,2026-03-02T09:52:17.306555+00:00,The mainstream media won't cover this story,,,,,synthetic
coord_g1_01,2026-03-02T09:53:34.193588+00:00,Wake up and share this with everyone you know,https://uncensored-report.com/6089,,,,synthetic
organic_016,2026-03-02T09:56:19.380506+00:00,Congratulations to the team!,,,,,synthetic
organic_017,2026-03-02T10:04:47.834062+00:00,Great discussion at today's meetup,,,,,synthetic
organic_004,2026-03-02T11:05:57.508860+00:00,This weather is perfect for a hike,,,,,synthetic
organic_009,2026-03-02T11:08:54.016309+00:00,This recipe turned out amazing,,,,,synthetic
organic_011,2026-03-02T11:14:09.808592+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_017,2026-03-02T11:34:11.968196+00:00,Happy birthday to my amazing friend!,,,,,synthetic
coord_g1_02,2026-03-02T11:36:17.073340+00:00,They want cheap labor and don't care about you,,,,,synthetic
organic_000,2026-03-02T11:39:44.091676+00:00,This recipe turned out amazing,,life,,,synthetic
coord_g1_03,2026-03-02T11:59:24.056130+00:00,Open borders are destroying our communities,,resist,,,synthetic
organic_012,2026-03-02T12:09:22.376679+00:00,Anyone watching the game tonight?,,love,,,synthetic
coord_g0_01,2026-03-02T12:13:57.333762+00:00,They want cheap labor and don't care about you,,"breaking,climatetruth,resist",,,synthetic
coord_g0_02,2026-03-02T12:15:55.189129+00:00,Millions of illegals flooding in and nobody cares,,breaking,,,synthetic
coord_g0_00,2026-03-02T12:16:51.697611+00:00,Something big is about to happen stay alert,https://truthnews247.com/article/8775,,,,synthetic
coord_g0_03,2026-03-02T12:18:34.223599+00:00,Open borders are destroying our communities,,immigrationtruth,,,synthetic
organic_013,2026-03-02T12:26:00.656914+00:00,Just finished reading a great book,,,,,synthetic
organic_014,2026-03-02T12:30:18.652850+00:00,Trying a new workout routine this week,,,,,synthetic
organic_007,2026-03-02T12:53:43.572804+00:00,Monday mood: need more coffee,,,,,synthetic
organic_006,2026-03-02T12:55:53.025537+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_011,2026-03-02T13:05:16.268322+00:00,Great discussion at today's meetup,,love,,,synthetic
coord_g1_03,2026-03-02T13:06:50.211669+00:00,This is really important please share widely,,,,,synthetic
organic_011,2026-03-02T13:16:33.552557+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_013,2026-03-02T14:05:15.408544+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_007,2026-03-02T14:29:17.431284+00:00,This recipe turned out amazing,,,,,synthetic
organic_005,2026-03-02T15:18:02.634864+00:00,Can't wait for the weekend,,,,,synthetic
organic_001,2026-03-02T15:32:13.304192+00:00,Beautiful sunset today,,,,,synthetic
organic_008,2026-03-02T15:49:52.520703+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_016,2026-03-02T15:56:22.905563+00:00,Great discussion at today's meetup,,,,,synthetic
organic_005,2026-03-02T16:08:33.072421+00:00,Beautiful sunset today,,,,,synthetic
organic_000,2026-03-02T16:30:31.525739+00:00,This recipe turned out amazing,,,,,synthetic
organic_011,2026-03-02T16:44:34.588487+00:00,Beautiful sunset today,,,,,synthetic
coord_g1_01,2026-03-02T16:47:06.956918+00:00,Open borders are destroying our communities,,,,,synthetic
organic_001,2026-03-02T18:00:38.871169+00:00,This recipe turned out amazing,,,,,synthetic
organic_004,2026-03-02T18:11:57.462695+00:00,Can't wait for the weekend,,,,,synthetic
organic_002,2026-03-02T18:15:59.202578+00:00,Just finished reading a great book,,,,,synthetic
organic_014,2026-03-02T18:19:55.158038+00:00,Trying a new workout routine this week,,fun,,,synthetic
coord_g0_00,2026-03-02T18:40:15.549925+00:00,Open borders are destroying our communities,,,,,synthetic
organic_001,2026-03-02T18:41:05.009517+00:00,Great discussion at today's meetup,,,,,synthetic
organic_019,2026-03-02T18:46:05.129829+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_004,2026-03-02T19:19:21.188486+00:00,Great discussion at today's meetup,,,,,synthetic
organic_002,2026-03-02T19:23:16.452672+00:00,This weather is perfect for a hike,,,,,synthetic
organic_009,2026-03-02T19:26:14.619117+00:00,Monday mood: need more coffee,,,,,synthetic
organic_005,2026-03-02T20:33:08.404675+00:00,This recipe turned out amazing,,,,,synthetic
organic_010,2026-03-02T20:34:40.015900+00:00,Beautiful sunset today,,,,,synthetic
organic_015,2026-03-02T20:44:13.064883+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_012,2026-03-02T20:52:19.686442+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_017,2026-03-02T21:34:31.559747+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_010,2026-03-02T21:43:37.457073+00:00,Trying a new workout routine this week,,,,,synthetic
organic_019,2026-03-02T22:51:10.142338+00:00,This recipe turned out amazing,,,,,synthetic
organic_021,2026-03-02T22:58:34.590674+00:00,Looking forward to vacation next month,,,,,synthetic
organic_012,2026-03-02T23:06:47.597862+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_013,2026-03-02T23:09:24.425337+00:00,Anyone watching the game tonight?,,goals,,,synthetic
organic_015,2026-03-02T23:30:13.836900+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_008,2026-03-02T23:50:21.419728+00:00,Monday mood: need more coffee,,,,,synthetic
organic_007,2026-03-03T00:06:48.873411+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g1_02,2026-03-03T00:23:33.525372+00:00,Another day another cover up by the elites,https://truthnews247.com/article/6781,,,,synthetic
coord_g1_03,2026-03-03T00:24:44.147128+00:00,Open borders are destroying our communities,https://freedomdaily.org/expose/5618,"resist,immigrationtruth,sharetruth",,,synthetic
coord_g1_00,2026-03-03T00:27:11.850516+00:00,Something big is about to happen stay alert,https://uncensored-report.com/6526,"technologytruth,resist",,,synthetic
coord_g1_01,2026-03-03T00:27:33.726641+00:00,Something big is about to happen stay alert,https://realfacts.blog/post/5972,,,coord_g1_02,synthetic
organic_017,2026-03-03T01:03:44.024403+00:00,Looking forward to vacation next month,,,,,synthetic
coord_g0_00,2026-03-03T01:14:40.517741+00:00,They don't want you to know the truth,,"climatetruth,breaking",,,synthetic
coord_g1_01,2026-03-03T01:42:29.786103+00:00,They want cheap labor and don't care about you,,sharetruth,,,synthetic
organic_017,2026-03-03T01:42:36.031280+00:00,Monday mood: need more coffee,,,,,synthetic
organic_001,2026-03-03T03:10:47.137221+00:00,Looking forward to vacation next month,,,,,synthetic
organic_004,2026-03-03T03:15:21.465698+00:00,New album is fire honestly,,,,,synthetic
organic_003,2026-03-03T03:23:02.647376+00:00,This recipe turned out amazing,,,,,synthetic
organic_019,2026-03-03T03:41:51.002892+00:00,Great discussion at today's meetup,,mood,,,synthetic
organic_007,2026-03-03T04:01:27.262514+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_016,2026-03-03T04:02:55.123933+00:00,New album is fire honestly,,,,,synthetic
organic_003,2026-03-03T04:05:03.044984+00:00,Looking forward to vacation next month,,,,,synthetic
organic_012,2026-03-03T04:06:10.829817+00:00,Trying a new workout routine this week,,,,,synthetic
organic_013,2026-03-03T04:20:43.702653+00:00,Traffic is terrible today,,,,,synthetic
organic_008,2026-03-03T04:24:30.325700+00:00,Beautiful sunset today,,,,,synthetic
organic_008,2026-03-03T04:27:37.738977+00:00,Congratulations to the team!,,,,,synthetic
organic_001,2026-03-03T04:27:38.530259+00:00,Trying a new workout routine this week,,,,,synthetic
coord_g1_01,2026-03-03T04:30:17.839993+00:00,Open borders are destroying our communities,,,,,synthetic
coord_g1_00,2026-03-03T04:30:35.293438+00:00,Another day another cover up by the elites,https://patriotwatch.net/breaking/8596,,,,synthetic
coord_g1_02,2026-03-03T04:32:41.024267+00:00,This is really important please share widely,https://realfacts.blog/post/4013,technologytruth,,,synthetic
coord_g1_03,2026-03-03T04:33:37.524273+00:00,Something big is about to happen stay alert,,sharetruth,,,synthetic
coord_g1_02,2026-03-03T04:36:05.315290+00:00,The mainstream media won't cover this story,,,,,synthetic
organic_000,2026-03-03T04:49:33.444977+00:00,Monday mood: need more coffee,,,,,synthetic
coord_g1_03,2026-03-03T05:11:36.626064+00:00,Something big is about to happen stay alert,,,,,synthetic
organic_002,2026-03-03T05:48:58.678974+00:00,Beautiful sunset today,,,,,synthetic
organic_013,2026-03-03T06:03:58.179913+00:00,This recipe turned out amazing,,,,,synthetic
organic_015,2026-03-03T06:08:08.543280+00:00,Monday mood: need more coffee,,,,,synthetic
organic_016,2026-03-03T06:26:05.731150+00:00,This recipe turned out amazing,,,,,synthetic
organic_003,2026-03-03T06:26:31.242521+00:00,Traffic is terrible today,,,,,synthetic
organic_012,2026-03-03T06:34:11.639688+00:00,Traffic is terrible today,,,,,synthetic
organic_004,2026-03-03T07:01:28.949291+00:00,Looking forward to vacation next month,,,,,synthetic
organic_013,2026-03-03T07:05:43.193476+00:00,This recipe turned out amazing,,,,,synthetic
organic_004,2026-03-03T07:24:41.144920+00:00,Traffic is terrible today,,,,,synthetic
organic_004,2026-03-03T07:44:07.731849+00:00,This weather is perfect for a hike,,vibes,,,synthetic
coord_g1_01,2026-03-03T08:10:34.980247+00:00,Can't believe more people aren't talking about this,https://freedomdaily.org/expose/3120,,,,synthetic
coord_g1_00,2026-03-03T08:10:38.465067+00:00,They want cheap labor and don't care about you,https://patriotwatch.net/breaking/3455,resist,,coord_g1_03,synthetic
coord_g1_03,2026-03-03T08:11:20.388291+00:00,This is really important please share widely,,"immigrationtruth,sharetruth",,,synthetic
organic_006,2026-03-03T08:11:56.266682+00:00,Can't wait for the weekend,,,,,synthetic
coord_g1_02,2026-03-03T08:12:55.781677+00:00,Open borders are destroying our communities,https://realfacts.blog/post/4013,"sharetruth,technologytruth",,,synthetic
coord_g0_02,2026-03-03T08:15:28.470567+00:00,Wake up and share this with everyone you know,,,,,synthetic
organic_015,2026-03-03T08:36:26.835474+00:00,This recipe turned out amazing,,,,,synthetic
organic_020,2026-03-03T08:38:39.074538+00:00,This recipe turned out amazing,,,,,synthetic
organic_013,2026-03-03T09:07:27.673381+00:00,This recipe turned out amazing,,,,,synthetic
coord_g1_02,2026-03-03T09:24:03.131047+00:00,Can't believe more people aren't talking about this,,,,,synthetic
coord_g1_03,2026-03-03T09:25:52.527167+00:00,Crime rates skyrocketing in border states,,,,,synthetic
coord_g1_00,2026-03-03T09:26:42.308334+00:00,Wake up and share this with everyone you know,https://truthnews247.com/article/7410,,,,synthetic
coord_g1_01,2026-03-03T09:27:24.248541+00:00,Something big is about to happen stay alert,https://realfacts.blog/post/4852,sharetruth,,coord_g1_02,synthetic
coord_g1_02,2026-03-03T10:17:58.609032+00:00,The mainstream media won't cover this story,,,,,synthetic
organic_002,2026-03-03T10:27:58.248469+00:00,Traffic is terrible today,,,,,synthetic
organic_003,2026-03-03T10:31:46.535741+00:00,Great discussion at today's meetup,,,,,synthetic
organic_000,2026-03-03T10:39:59.417978+00:00,Just finished reading a great book,,,,,synthetic
organic_015,2026-03-03T10:46:56.923490+00:00,This weather is perfect for a hike,,,,,synthetic
organic_021,2026-03-03T11:08:04.268966+00:00,Traffic is terrible today,,,,,synthetic
organic_016,2026-03-03T11:20:52.719521+00:00,Can't wait for the weekend,,,,,synthetic
organic_011,2026-03-03T11:27:46.332161+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g0_00,2026-03-03T11:28:07.693138+00:00,They don't want you to know the truth,,,,,synthetic
organic_006,2026-03-03T11:36:13.458908+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g1_02,2026-03-03T11:50:05.812153+00:00,This is really important please share widely,,"immigrationtruth,technologytruth",,,synthetic
organic_021,2026-03-03T11:52:01.469012+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_012,2026-03-03T11:54:41.618148+00:00,Traffic is terrible today,,,,,synthetic
organic_000,2026-03-03T12:02:07.119815+00:00,Congratulations to the team!,,,,,synthetic
organic_018,2026-03-03T12:13:25.137204+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_000,2026-03-03T12:27:25.417097+00:00,This recipe turned out amazing,,love,,,synthetic
organic_005,2026-03-03T12:32:54.292788+00:00,This recipe turned out amazing,,,,,synthetic
organic_000,2026-03-03T12:41:08.614007+00:00,This weather is perfect for a hike,,,,,synthetic
organic_006,2026-03-03T12:42:05.140999+00:00,Monday mood: need more coffee,,,,,synthetic
organic_014,2026-03-03T12:49:56.654238+00:00,This recipe turned out amazing,,,,,synthetic
organic_004,2026-03-03T13:20:54.200612+00:00,Great discussion at today's meetup,,,,,synthetic
organic_015,2026-03-03T13:22:01.007125+00:00,This recipe turned out amazing,,,,,synthetic
organic_006,2026-03-03T13:23:01.702841+00:00,Happy birthday to my amazing friend!,,,,,synthetic
organic_006,2026-03-03T13:24:16.123640+00:00,Traffic is terrible today,,,,,synthetic
organic_004,2026-03-03T13:41:38.137095+00:00,Monday mood: need more coffee,,,,,synthetic
organic_016,2026-03-03T13:46:35.744822+00:00,Can't wait for the weekend,,,,,synthetic
organic_010,2026-03-03T13:48:04.777252+00:00,Traffic is terrible today,,,,,synthetic
organic_000,2026-03-03T14:03:11.166478+00:00,Monday mood: need more coffee,,,,,synthetic
coord_g0_03,2026-03-03T14:11:30.714499+00:00,Another day another cover up by the elites,,,,,synthetic
organic_008,2026-03-03T15:15:41.806318+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g0_03,2026-03-03T15:20:37.385355+00:00,Crime rates skyrocketing in border states,,immigrationtruth,,,synthetic
coord_g0_00,2026-03-03T15:21:05.075305+00:00,Millions of illegals flooding in and nobody cares,https://truthnews247.com/article/1284,,,,synthetic
coord_g0_01,2026-03-03T15:22:37.688728+00:00,Open borders are destroying our communities,,,,,synthetic
coord_g0_02,2026-03-03T15:22:42.292574+00:00,Can't believe more people aren't talking about this,,"resist,wakeup",,,synthetic
organic_010,2026-03-03T15:35:37.338189+00:00,Can't wait for the weekend,,life,,,synthetic
organic_013,2026-03-03T15:36:48.210487+00:00,This recipe turned out amazing,,,,,synthetic
organic_004,2026-03-03T15:39:22.081687+00:00,New album is fire honestly,,love,,,synthetic
coord_g1_01,2026-03-03T15:54:23.074934+00:00,Something big is about to happen stay alert,,immigrationtruth,,,synthetic
organic_006,2026-03-03T16:07:17.665346+00:00,Can't wait for the weekend,,,,,synthetic
organic_014,2026-03-03T16:17:33.229868+00:00,Just finished reading a great book,,,,,synthetic
organic_017,2026-03-03T16:18:52.813005+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_015,2026-03-03T16:30:39.206401+00:00,Congratulations to the team!,,,,,synthetic
organic_005,2026-03-03T16:43:50.901132+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_003,2026-03-03T17:45:00.141191+00:00,This recipe turned out amazing,,,,,synthetic
coord_g0_00,2026-03-03T18:28:52.455936+00:00,Crime rates skyrocketing in border states,,wakeup,,,synthetic
organic_017,2026-03-03T18:36:35.452730+00:00,Just finished reading a great book,,,,,synthetic
organic_015,2026-03-03T18:50:20.145360+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_020,2026-03-03T19:11:46.515126+00:00,Just finished reading a great book,,,,,synthetic
organic_018,2026-03-03T19:21:15.108469+00:00,Trying a new workout routine this week,,,,,synthetic
organic_017,2026-03-03T19:36:07.283828+00:00,Looking forward to vacation next month,,,,,synthetic
organic_018,2026-03-03T19:45:15.317416+00:00,This weather is perfect for a hike,,fun,,,synthetic
organic_004,2026-03-03T19:55:37.868124+00:00,Traffic is terrible today,,,,,synthetic
coord_g0_00,2026-03-03T20:35:47.572398+00:00,Wake up and share this with everyone you know,,,,,synthetic
coord_g0_03,2026-03-03T20:44:50.953373+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_012,2026-03-03T20:48:57.521724+00:00,Just finished reading a great book,,fun,,,synthetic
organic_016,2026-03-03T21:15:10.877988+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_008,2026-03-03T21:31:59.756202+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_009,2026-03-03T21:33:25.306877+00:00,This recipe turned out amazing,,,,,synthetic
organic_018,2026-03-03T21:34:44.748423+00:00,This weather is perfect for a hike,,,,,synthetic
organic_020,2026-03-03T21:41:37.218253+00:00,Just had the best coffee at this new place downtown,,,,,synthetic
organic_012,2026-03-03T22:09:34.957861+00:00,Beautiful sunset today,,goals,,,synthetic
organic_019,2026-03-03T22:09:49.646883+00:00,Trying a new workout routine this week,,,,,synthetic
organic_012,2026-03-03T22:11:19.853796+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g1_02,2026-03-03T22:16:39.768060+00:00,Can't believe more people aren't talking about this,https://realfacts.blog/post/7544,resist,,,synthetic
coord_g1_01,2026-03-03T22:19:01.662680+00:00,They want cheap labor and don't care about you,,"sharetruth,sharetruth,technologytruth",,,synthetic
coord_g1_00,2026-03-03T22:19:28.264110+00:00,They want cheap labor and don't care about you,,"sharetruth,immigrationtruth",,,synthetic
coord_g1_03,2026-03-03T22:21:04.284079+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_005,2026-03-03T22:37:56.377311+00:00,Congratulations to the team!,,,,,synthetic
organic_015,2026-03-03T22:51:17.373460+00:00,Traffic is terrible today,,,,,synthetic
organic_017,2026-03-03T23:02:26.147699+00:00,Great discussion at today's meetup,,,,,synthetic
organic_016,2026-03-03T23:08:23.475178+00:00,Monday mood: need more coffee,,,,,synthetic
organic_017,2026-03-03T23:17:44.158493+00:00,Beautiful sunset today,,,,,synthetic
organic_019,2026-03-03T23:43:28.358305+00:00,Can't wait for the weekend,,,,,synthetic
organic_021,2026-03-03T23:51:38.292939+00:00,Anyone watching the game tonight?,,,,,synthetic
coord_g0_00,2026-03-04T00:21:31.281754+00:00,Crime rates skyrocketing in border states,,,,,synthetic
organic_008,2026-03-04T00:25:13.977545+00:00,Traffic is terrible today,,,,,synthetic
organic_020,2026-03-04T00:25:54.618968+00:00,Anyone watching the game tonight?,,vibes,,,synthetic
organic_018,2026-03-04T00:33:51.699383+00:00,Trying a new workout routine this week,,,,,synthetic
organic_001,2026-03-04T00:58:17.403848+00:00,This weather is perfect for a hike,,,,,synthetic
organic_006,2026-03-04T01:19:28.365465+00:00,Looking forward to vacation next month,,,,,synthetic
organic_006,2026-03-04T01:21:22.003387+00:00,This weather is perfect for a hike,,,,,synthetic
coord_g0_01,2026-03-04T01:24:22.588245+00:00,Millions of illegals flooding in and nobody cares,,,,,synthetic
organic_014,2026-03-04T01:39:05.882021+00:00,Congratulations to the team!,,,,,synthetic
organic_000,2026-03-04T01:52:29.133290+00:00,Happy birthday to my amazing friend!,,fun,,,synthetic
organic_020,2026-03-04T01:54:44.451110+00:00,Anyone watching the game tonight?,,,,,synthetic
organic_002,2026-03-04T02:10:02.147819+00:00,Just finished reading a great book,,goals,,,synthetic
organic_010,2026-03-04T02:28:32.788063+00:00,Monday mood: need more coffee,,,,,synthetic
